i;V1;V2;V3;V4;V5;V6;V7
13;0.205045141;0.202775859;0.207993127;0.210522672;0.204316024;0.21035703;0.210960496
14;0.204359635;0.201312199;0.207644739;0.209194731;0.20250744;0.211688081;0.210572961
15;0.205705493;0.202533238;0.208257958;0.209925419;0.20633336;0.210859587;0.211238312
16;0.204540555;0.201594775;0.207620699;0.210353383;0.202132675;0.212080186;0.21018301
17;0.205498186;0.202322271;0.208160822;0.208707097;0.205126374;0.210002123;0.210883797
18;0.205068254;0.202532476;0.208043555;0.209818445;0.203457667;0.210185808;0.210521813
19;0.204627049;0.202206024;0.20748423;0.209158873;0.202993218;0.209670586;0.210766237
20;0.205813995;0.202152307;0.207742981;0.209477292;0.203252327;0.212087175;0.210838925
21;0.206350617;0.203295812;0.208413102;0.210647907;0.204187721;0.210629155;0.21098196
22;0.204987141;0.202513753;0.208155452;0.209885074;0.202720934;0.209991091;0.210540437
23;0.206404264;0.203853083;0.209039014;0.210291479;0.206327756;0.210947986;0.212213185
24;0.209159659;0.207167256;0.210978417;0.213137319;0.208520598;0.211893978;0.214109437
25;0.20822408;0.207225527;0.211017046;0.212254346;0.208147089;0.205927589;0.213076058
26;0.206814836;0.205170755;0.209366451;0.211257346;0.205836477;0.207218338;0.211752127
27;0.210956343;0.207727096;0.21062203;0.2140842;0.206230675;0.215175266;0.214474436
28;0.225554094;0.223943061;0.221556003;0.222112203;0.221964345;0.216066943;0.224530828
29;0.202882453;0.207248732;0.210924653;0.213252295;0.201909764;0.189670023;0.210444839
30;0.23627773;0.233122969;0.22654435;0.227529424;0.241210807;0.232378623;0.236486037
31;0.222340858;0.227541155;0.223780258;0.23307928;0.208902542;0.206853215;0.223312096
32;0.229211477;0.230882866;0.22545702;0.227517829;0.2322647;0.217386596;0.230045063
33;0.236499448;0.235120489;0.232616699;0.238195416;0.223045368;0.2327557;0.231072281
34;0.246685437;0.254391686;0.241857976;0.25059981;0.248380684;0.238924209;0.244955993
35;0.235854159;0.239545228;0.239398405;0.242937424;0.226009707;0.235274832;0.236440973
36;0.258053555;0.26027714;0.252448216;0.255118349;0.276930579;0.247011366;0.253969021
37;0.251872274;0.257477388;0.252694525;0.263798817;0.244257389;0.257293799;0.246722618
38;0.270935997;0.273998797;0.265507274;0.261393603;0.287898228;0.250786863;0.265865534
39;0.247956701;0.255210263;0.252267345;0.257492477;0.2522189;0.248490383;0.245050192
40;0.279431626;0.281925567;0.269357156;0.273787744;0.290433797;0.28778942;0.274247407
41;0.262623336;0.269068995;0.26484771;0.269026544;0.244231457;0.262572254;0.252560095
42;0.267548154;0.273191667;0.267654807;0.26632108;0.287503947;0.267944394;0.260789353
43;0.296894907;0.298885079;0.29213926;0.293379797;0.300191579;0.308734373;0.284940177
44;0.283848351;0.29429979;0.282697422;0.286100127;0.304670497;0.28034376;0.283854753
45;0.298024045;0.300622058;0.295554583;0.293196445;0.315632755;0.311045574;0.290667199
46;0.309342386;0.318603603;0.303664378;0.307010993;0.327404789;0.30660594;0.297071355
47;0.287608134;0.300824952;0.288943857;0.29188273;0.287012783;0.300873681;0.279078268
48;0.319533471;0.327781794;0.314349582;0.317750303;0.321099535;0.334441538;0.308396283
49;0.310788919;0.331782041;0.311726941;0.322273094;0.31106384;0.325044288;0.296892532
50;0.332930865;0.340679668;0.332495464;0.334146768;0.342975499;0.354550453;0.321444757
51;0.359049078;0.367988499;0.351513214;0.352736249;0.382396307;0.370080504;0.343206923
52;0.337144865;0.348959648;0.333995005;0.338580312;0.363926474;0.341071722;0.324931659
53;0.382662592;0.388129272;0.376038535;0.384811591;0.405741286;0.404201008;0.373146306
54;0.331656729;0.350322189;0.3322107;0.340564766;0.352712164;0.341340477;0.324163922
55;0.308889614;0.317789078;0.325525623;0.311006359;0.32936045;0.326283245;0.30593437
56;0.372909082;0.38014149;0.36210674;0.371373781;0.383308637;0.396161413;0.349755892
57;0.37211138;0.381399659;0.367427118;0.373747155;0.382914568;0.388672319;0.337439876
58;0.408035002;0.404237585;0.40010947;0.394019611;0.418278762;0.42282106;0.408574784
59;0.415831589;0.409371617;0.39887835;0.397166737;0.442137391;0.417218187;0.411945259
60;0.376973538;0.393493022;0.38360003;0.372767989;0.396443827;0.404621325;0.373441905
61;0.336413958;0.351501067;0.336838681;0.331599731;0.306434997;0.33073764;0.331340584
62;0.329159572;0.363638709;0.346319041;0.339923569;0.309639011;0.342985173;0.318880408
63;0.419033429;0.431333018;0.435380033;0.442316498;0.375464132;0.433683364;0.414665349
64;0.414406771;0.432700397;0.419339265;0.417458008;0.423179776;0.424796845;0.392740254
65;0.416311232;0.425756019;0.417488646;0.410608009;0.427631304;0.428651257;0.387820512
66;0.414350474;0.417717269;0.411789563;0.409893293;0.430920546;0.447087376;0.403595599
67;0.514842486;0.529749382;0.550276888;0.571252487;0.493949093;0.466532129;0.514444634
68;0.409299973;0.389390282;0.365346432;0.45599629;0.435329661;0.380538837;0.435472324
69;0.466066167;0.405199301;0.448062983;0.473802518;0.48278475;0.463591411;0.450445089
70;0.52190798;0.455019361;0.484304603;0.472606549;0.540514789;0.501979145;0.530698218
71;0.520060845;0.452830828;0.502661732;0.496298054;0.486364431;0.51733348;0.485150141
72;0.597926169;0.566821425;0.584555121;0.603254333;0.553755228;0.585884411;0.638559933
73;0.484940679;0.482514767;0.448423248;0.48979276;0.462614314;0.500201952;0.519136148
74;0.463316802;0.475084205;0.47986774;0.459933601;0.43532097;0.467831137;0.453258304
75;0.407640153;0.3972416;0.382893459;0.365065379;0.40064549;0.36870951;0.392333536
76;0.392010669;0.41431488;0.393973542;0.314862989;0.356959962;0.359139444;0.34541201
77;0.479585434;0.470655013;0.50196723;0.453080845;0.496657434;0.449152807;0.470885494
78;0.480056086;0.501816135;0.448855065;0.501639766;0.528896792;0.471921888;0.498509819
79;0.533676833;0.495631396;0.498180478;0.548608803;0.51570205;0.526920253;0.495388869
80;0.472673738;0.514810676;0.479450971;0.479884393;0.477255118;0.495768501;0.493151694
81;0.490669221;0.4379514;0.495122158;0.48754347;0.541832854;0.509674387;0.491182014
82;0.329402493;0.341702087;0.33354315;0.318100681;0.337934378;0.332804025;0.333051637
83;0.358940765;0.381204972;0.367575332;0.383654158;0.355777198;0.35316986;0.319684958
84;0.440998482;0.483483981;0.461109407;0.482891013;0.479422874;0.460519047;0.459290893
85;0.486857837;0.47992548;0.494782303;0.494003235;0.478833883;0.456908884;0.456968826
86;0.464230639;0.469140717;0.480742572;0.436509416;0.498333779;0.512400754;0.492738895
87;0.498202386;0.516916892;0.490764609;0.478931265;0.492673687;0.432727996;0.467154001
88;0.451149099;0.440821792;0.455909187;0.445291724;0.470012407;0.441978215;0.453893388
89;0.298945849;0.311676902;0.301130504;0.256231654;0.285666897;0.319651605;0.299717442
90;0.332524671;0.360756459;0.338931144;0.360322392;0.333387577;0.350820907;0.341668061
91;0.406900256;0.423406455;0.424885704;0.43117569;0.415783111;0.427381551;0.39803686
92;0.456262484;0.472314153;0.446463609;0.460581644;0.475605702;0.47851371;0.446091438
